year,unit,section,bucks,does,fawns,total_harvest,total_hunters,pct_success,rec_days
2021,90,archery,0,0,0,0,11,0,53
2021,91,archery,15,4,0,19,50,38,456
2021,92,archery,19,0,0,19,61,31,430
2021,94,archery,14,0,0,14,72,19,902
2021,95,archery,0,0,0,0,11,0,58
2021,951,archery,7,7,0,14,50,28,351
2021,96,archery,27,0,0,27,95,28,901
2021,97,archery,0,0,0,0,3,0,34
2021,98,archery,22,0,0,22,45,49,325
2021,99,archery,4,0,0,4,42,10,552
2021,100,archery,0,0,0,0,7,0,113
2021,101,archery,7,0,0,7,48,15,374
2021,102,archery,18,0,0,18,55,33,604
2021,103,archery,12,3,0,15,62,24,417
2021,104,archery,83,11,0,94,291,32,3263
2021,105,archery,28,11,11,50,176,28,1992
2021,106,archery,0,0,0,0,31,0,164
2021,107,archery,3,6,0,9,29,31,106
2021,109,archery,10,7,0,17,83,20,785
2021,110,archery,53,9,0,62,173,36,1425
2021,111,archery,6,0,0,6,18,33,30
2021,112,archery,10,0,0,10,42,24,383
2021,113,archery,0,0,0,0,30,0,138
2021,114,archery,3,0,0,3,3,100,16
2021,115,archery,3,0,0,3,8,38,49
2021,116,archery,7,4,0,11,49,22,474
2021,117,archery,4,0,0,4,15,27,114
2021,118,archery,0,0,0,0,12,0,117
2021,119,archery,6,0,0,6,77,8,412
2021,120,archery,0,0,0,0,8,0,41
2021,121,archery,5,0,0,5,19,26,113
2021,122,archery,16,0,0,16,77,21,660
2021,123,archery,19,0,0,19,59,32,742
2021,124,archery,0,3,0,3,20,15,176
2021,125,archery,13,3,0,16,69,23,720
2021,126,archery,0,0,0,0,45,0,234
2021,127,archery,10,12,0,22,92,24,493
2021,128,archery,8,0,0,8,79,10,1161
2021,129,archery,6,0,0,6,34,18,152
2021,130,archery,5,0,0,5,33,15,504
2021,132,archery,4,0,0,4,43,9,133
2021,133,archery,0,0,0,0,6,0,12
2021,134,archery,14,0,0,14,14,100,120
2021,135,archery,7,7,0,14,27,52,365
2021,137,archery,0,0,0,0,6,0,117
2021,139,archery,13,0,0,13,42,31,313
2021,140,archery,16,0,0,16,46,35,408
2021,141,archery,0,3,0,3,5,60,29
2021,142,archery,0,0,0,0,29,0,287
2021,143,archery,0,0,0,0,6,0,19
2021,144,archery,9,0,0,9,20,45,141
2021,145,archery,3,0,0,3,14,21,64
2021,146,archery,25,3,0,28,91,31,780
2021,147,archery,2,2,0,4,16,25,45
2021,201,muzzleloader,6,0,0,6,8,75,30
2021,3,muzzleloader,4,3,0,7,18,39,61
2021,301,muzzleloader,11,3,0,14,25,56,101
2021,4,muzzleloader,7,3,0,10,40,25,173
2021,441,muzzleloader,0,0,0,0,3,0,6
2021,5,muzzleloader,4,6,0,10,32,31,128
